一丁点儿 (yi1,ding1,dian3,er5)
枪杆子 (qiang1,gan3,zi5)
枪林弹雨 (qiang1,lin2,dan4,yu3)
枪榴弹 (qiang1,liu2,dan4)
枭将 (xiao1,jiang4)
枯树生华 (ku1,shu4,sheng1,hua1)
架不住 (jia4,bu2,zhu4)
架子 (jia4,zi5)
枸杞 (gou3,qi3)
枸橘 (gou1,ju2)
枸橼 (ju3,yuan2)
柏拉图 (bo2,la1,tu2)
柏林 (bo2,lin2)
柏油 (bo2,you2)
柏油纸 (bo2,you2,zhi3)
柏油路 (bo2,you2,lu4)
染坊 (ran3,fang2)
柔情绰态 (rou2,qing2,chuo1,tai4)
柚子 (you4,zi5)
柚木 (you2,mu4)
柜子 (gui4,zi5)
柞水 (zha4,shui3)
柞绸 (zuo4,chou2)
柞蚕 (zuo4,can2)
查勤 (zha1,qin2)
查处 (cha2,chu3)
查岗 (zha1,gang3)
查帐 (zha1,zhang4)
查查 (zha1,zha1)
查核 (zha1,he2)
查检 (zha1,jian3)
查照 (zha1,zhao4)
查看 (zha1,kan4)
查禁 (cha2,jin4)
查缉 (zha1,ji1)
查铺 (cha2,pu4)
柳巷花街 (liu3,xiong4,hua1,jie1)
柳眉倒竖 (liu3,mei2,dao4,shu4)
柳街花巷 (liu3,jie1,hua1,xiong4)
柳骨颜筋 (jiu3,gu3,yan2,jin1)
柴沟堡 (chai2,gou1,bu3)
柴立不阿 (chai2,li4,bu4,e1)
柿子 (shi4,zi5)
栅极 (shan1,ji2)
标的 (biao1,di4)
标识 (biao1,zhi4)
栉比鳞差 (zhi4,bi3,lin2,ci3)
栉霜沐露 (zhi4,shuang1,mu4,lu4)
栋折榱坏 (dong4,she2,cui1,huai4)
栏干 (lan2,gan4)
栏杆 (lan2,gan3)
栏栅 (lan2,shan1)
树冠 (shu4,guan1)
树干 (shu4,gan4)
树杈 (shu4,cha4)
树荫 (shu4,yin1)
树行子 (shu4,hang4,zi5)
栓塞 (shuan1,se4)
栖栖 (xi1,xi1)
栖栖遑遑 (qi1,qi1,huang2,huang2)
栖风宿雨 (qi1,feng1,xiu3,yu3)
栗子 (li4,zi5)
校准 (jiao4,zhun3)
校勘 (jiao4,kan1)
校园 (xiao4,yuan3)
校场 (jiao4,chang3)
校对 (jiao4,dui4)
校改 (jiao4,gai3)
校样 (jiao4,yang4)
校核 (jiao4,he2)
校正 (jiao4,zheng4)
校注 (jiao4,zhu4)
校点 (jiao4,dian3)
校短量长 (jiao4,duan3,liang2,chang2)
校舍 (xiao4,she4)
校订 (jiao4,ding4)
校长 (xiao4,zhang3)
校阅 (jiao4,yue4)
校验 (jiao4,yan4)
核儿 (hu2,er2)
核反应 (he2,fan3,ying4)
核反应堆 (he2,fan3,ying4,dui1)
核子 (he2,zi5)
核弹 (he2,dan4)
核查 (he2,zha1)
核桃凹 (he2,tao2,wa1)
根生土长 (gen1,shen1,tu3,zhang3)
格杀不论 (ge2,sha1,bu4,lun4)
格格不入 (ge2,ge2,bu2,ru4)
格格不吐 (ge1,ge1,bu4,tu3)
格格不纳 (ge1,ge1,bu4,na4)
格调 (ge2,diao4)
栽种 (zai1,zhong4)
栽跟头 (zai1,gen1,tou5)
桀骜不恭 (jie2,ao4,bu4,gong1)
桀骜不逊 (jie2,ao4,bu4,xun4)
桀骜不驯 (jie2,ao4,bu2,xun4)
桀骜难驯 (jie2,ao4,nan2,xun4)
桂冠 (gui4,guan1)
桂折一枝 (gui4,she2,yi1,zhi1)
桂折兰摧 (gui4,she2,lan2,cui1)
桅杆 (wei2,gan3)
案卷 (an4,juan4)
案子 (an4,zi5)
桌子 (zhuo1,zi5)
桑土绸缪 (sang1,tu3,chou2,miu4)
桑户棬枢 (sang1,hu4,juan4,shu1)
桑椹 (sang1,shen4)
桑葚 (sang1,shen4)
桑葚儿 (sang1,ren4,er5)
桠杈 (ya1,cha4)
桴鼓相应 (fu2,gu3,xiang1,ying4)
梁上君子 (liang2,shang4,jun1,zi3)
梁孟相敬 (liang2,meng4,xiang1,jin4)
梆子 (bang1,zi5)
梆子腔 (bang1,zi5,qiang1)
梗塞 (geng3,se4)
梗着脖子 (geng3,zhe5,bo2,zi5)
梦撒撩丁 (meng4,sa1,liao2,ding1)
梯子 (ti1,zi5)
梳子 (shu1,zi5)
梵呗 (fan4,bai4)
梼杌 (tao2,wu4)
棋输先着 (qi2,shu1,xian1,zhao1)
棋输先著 (qi2,shu1,xian1,zhuo2)
棋高一着 (qi2,gao1,yi4,zhao1)
棍子 (gun4,zi5)
棒喝 (bang4,he4)
棒子面 (bang4,zi5,mian4)
棚圈 (peng2,juan4)
椅子 (yi3,zi5)
植发冲冠 (zhi2,fa4,chong1,guan4)
植发穿冠 (zhi2,fa4,chuan1,guan4)
椎埋屠狗 (chui2,mai2,tu2,gou3)
椎埋狗窃 (chui2,mai2,gou3,qie4)
椎天抢地 (chui2,tian1,qiang3,di4)
椎心呕血 (chui2,xin1,ou3,xue4)
椎心泣血 (chui2,xin1,qi4,xue4)
椎心顿足 (chui2,xin1,dun4,zu2)
椎心饮泣 (chui2,xin1,yin3,qi4)
椎牛发冢 (chui2,niu2,fa1,zhong3)
椎牛歃血 (chui2,niu2,sha4,xue4)
椎牛飨士 (chui2,niu2,xiang3,shi4)
椎肤剥体 (chui2,fu1,bo1,ti3)
椎肤剥髓 (chui2,fu1,bo1,sui3)
椎胸跌足 (chui2,xiong1,die1,zu2)
椎胸顿足 (chui2,xiong1,dun4,zu2)
椎膺顿足 (chui2,ying1,dun4,zu2)
椎锋陷阵 (chui2,feng1,xian4,zhen4)
椎锋陷陈 (chui1,feng1,xian4,chen2)
椰子 (ye1,zi5)
椰子树 (ye1,zi5,shu4)
楔子 (xie1,zi5)
楞眉横眼 (leng4,mei2,heng2,yan3)
楼观 (lou2,guan4)
概数 (gai4,shu4)
榔头 (lang2,tou5)
榫头 (sun3,tou5)
榫子 (sun3,zi5)
榱崩栋折 (cui1,beng1,dong4,she2)
榱栋崩折 (cui1,dong4,beng1,she2)
榴弹 (liu2,dan4)
榴弹炮 (liu2,dan4,pao4)
榾柮 (gu3,duo4)
槁项没齿 (gao3,xiang4,mei2,chi3)
槊血满袖 (shuo4,xue4,man3,xiu4)
槐南一梦 (huai2,nan2,yi1,meng1)
槟榔 (bing1,lang2)
模具 (mu2,ju4)
模子 (mu2,zi3)
模板 (mu2,ban3)
模样 (mu2,yang4)
模模糊糊 (mo2,mo2,hu4,hu1)
模糊 (mo2,hu4)
横事 (heng4,shi4)
横加 (heng4,jia1)
横加梗阻 (heng4,jia1,geng3,zu3)
横征暴赋 (heng4,zheng1,bao4,fu4)
横征苛役 (heng4,zheng1,ke1,yi4)
横征苛敛 (heng4,zheng1,ke1,lian3)
横恣 (heng4,zi4)
横恩滥赏 (heng4,en1,lan4,shang3)
横抢武夺 (heng4,qiang3,wu3,duo2)
横抢硬夺 (heng4,qiang3,ying4,duo2)
横拖倒扯 (heng2,tuo1,dao4,che3)
横拖倒拽 (heng2,tuo1,dao4,zhuai1)
横无忌惮 (heng4,wu2,ji4,dan4)
横暴 (heng4,bao4)
横死 (heng4,si3)
横殃飞祸 (heng4,yang1,fei1,huo4)
横灾飞祸 (heng4,zai1,fei1,huo4)
横祸 (heng4,huo4)
横科暴敛 (heng4,ke1,bao4,lian3)
横蛮 (heng4,man2)
横蛮不讲理 (heng4,man2,bu4,jiang3,li3)
横议 (heng4,yi4)
横话 (heng4,hua4)
横财 (heng4,cai2)
横逆 (heng4,ni4)
橘化为枳 (ju2,hua4,wei2,zhi3)
橘子 (ju2,zi5)
橘子汁 (ju2,zi5,zhi1)
橙黄桔绿 (cheng2,huang2,ju2,lv4)
橡皮图章 (xiang4,pi2,tu2,zhang4)
橡皮钉子 (xiang4,pi2,ding4,zi3)
檐溜 (yan2,liu4)
次数 (ci4,shu4)
次长 (ci4,zhang3)
欲取姑予 (yu4,qu3,gu1,yu3)
欲取故予 (yu4,qu3,gu4,yu3)
欺上蒙下 (qi1,shang4,meng1,xia4)
欺哄 (qi1,hong3)
欺天诳地 (qi1,tian1,kuang1,di4)
欺蒙 (qi1,meng2)
欺行霸市 (qi1,hang2,ba4,shi4)
款识 (kuan3,zhi4)
歃血 (sha4,xue4)
歃血为盟 (sha4,xue4,wei2,meng2)
歌仔戏 (ge1,zai3,xi4)
歌片儿 (ge1,pian1,er5)
歌莺舞燕 (ge1,ying2,wu3,yan4)
歙县 (she4,xian4)
歙漆阿胶 (she4,qi1,e1,jiao1)
止戈为武 (zhi3,ge1,wei2,wu3)
止戈兴仁 (zhi3,ge1,xing1,ren2)
止暴禁非 (zhi3,bao4,jin4,fei1)
止血 (zhi3,xue4)
正中下怀 (zheng4,zhong4,xia4,huai2)
正中己怀 (zheng4,zhong4,ji3,huai2)
正人君子 (zheng4,ren2,jun1,zi3)
正传 (zheng4,zhuan4)
正当防卫 (zheng4,dang4,fang2,wei4)
正数 (zheng4,shu4)
正旦 (zheng1,dan4)
正月 (zheng1,yue4)
正朔 (zheng1,shuo4)
正身率下 (zheng4,shen1,shuai4,xia4)
此唱彼和 (ci3,chang4,bi3,he4)
此起彼伏 (ci3,qi3,bi3,fu3)
此风不可长 (ci3,feng1,bu4,ke3,zhang3)
步斗踏罡 (bu4,dou3,ta4,gang1)
步步为营 (bu4,bu4,wei2,ying2)
步罡踏斗 (bu4,gang1,ta4,dou3)
步调 (bu4,diao4)
步调一致 (bu4,diao4,yi1,zhi4)
步调快速 (bu4,diao4,kuai4,su4)
武将 (wu3,jiang4)
武断专横 (wu3,duan4,zhuan1,heng2)
武断乡曲 (wu3,duan4,xiang1,qu1)
歪打正着 (wai1,da3,zheng4,zhao2)
歪曲 (wai1,qu1)
死劲儿 (si3,jing4,er5)
死当 (si3,dang4)
死要面子 (si3,yao4,mian4,zi5)
死记硬背 (si3,ji4,ying4,bei4)
死诸葛吓走生仲达 (si3,zhu1,ge2,xia4,zou3,sheng1,zhong4,da2)
死诸葛能走生仲达 (si3,zhu1,ge2,neng2,zou3,sheng1,zhong4,da2)
死难 (si3,nan4)
死马当活马医 (si3,ma3,dang4,huo2,ma3,yi1)
殉难 (xun4,nan4)
殊功劲节 (shu1,gong1,jing4,jie2)
残兵败将 (can2,bing1,bai4,jiang4)
残卷 (can2,juan4)
殒身不恤 (yun3,shen1,bu2,xu4)
殷切 (yin1,qie4)
殷殷 (yin3,yin3)
殷殷屯屯 (yin1,yin1,tun2,tun2)
殷红 (yan1,hong2)
毁冠裂裳 (hui3,guan1,lie4,chang2)
毁家纾难 (hui3,jia1,shu1,nan4)
毁舟为杕 (hui3,zhou1,wei2,duo4)
毁钟为铎 (hui3,zhong1,wei2,duo2)
毋宁 (wu2,ning4)
毒气炸弹 (du2,qi4,zha4,dan4)
比兴 (bi3,xing1)
比划 (bi3,hua4)
比喻失当 (bi3,yu4,shi1,dang4)
比干 (bi3,gan4)
比手划脚 (bi3,shou3,hua4,jiao3)
比物属事 (bi3,wu4,zhu3,shi4)
比量 (bi3,liang2)
比量齐观 (bi3,liang4,qi2,guan1)
毕剥 (bi4,bao1)
毕肖 (bi4,xiao4)
毕露 (bi4,lu4)
毛发 (mao2,fa4)
毛发不爽 (mao2,fa1,bu4,shuang3)
毛发倒竖 (mao2,fa1,dao3,shu4)
毛发悚然 (mao2,fa1,song3,ran2)
毛发耸然 (mao2,fa1,song3,ran2)
毛呢 (mao2,ni2)
毛头小子 (mao2,tou2,xiao3,zi5)
毛葛 (mao2,ge3)
毛遂 (mao2,sui2)
毛遂自荐 (mao2,sui2,zi4,jian4)
毡子 (zhan1,zi5)
毫不含糊 (hao2,bu4,han2,hu2)
毫不屑意 (hao2,bu2,xie4,yi4)
毫发不爽 (hao2,fa4,bu4,shuang3)
毯子 (tan3,zi5)
民为贵君为轻 (min2,wei2,gui4,jun1,wei2,qing1)
民乐 (min2,yue4)
民以食为天 (min2,yi3,shi2,wei2,tian1)
气不忿儿 (qi4,bu4,fen4,er2)
气克斗牛 (qi4,ke4,dou3,niu2)
气冲斗牛 (qi4,chong1,dou3,niu2)
气冲牛斗 (qi4,chong1,niu2,dou3)
气吞牛斗 (qi4,tun1,niu2,dou3)
气喘吁吁 (qi4,chuan3,xu1,xu1)
气息奄奄 (qi4,xi1,yan1,yan1)
气数 (qi4,shu4)
气血 (qi4,xue4)
气血方刚 (qi4,xue4,fang1,gang1)
氢弹 (qing1,dan4)
水中捉月 (shui4,zhong4,zhuo4,yue4)
水中著盐 (shui3,zhong1,zhuo2,yan2)
水佩风裳 (shui3,pei4,feng1,shang5)
水分 (shui3,fen4)
水宿山行 (shui3,xiu3,shan1,xing2)
水宿风餐 (shui3,xiu3,feng1,can1)
水杉 (shui3,shan1)
水栅 (shui3,shan1)
水泊 (shui3,po1)
水浒传 (shui3,hu3,zhuan4)
水溜 (shui3,liu4)
水漂儿 (shui3,piao3,er2)
水火不兼容 (shui3,huo3,bu4,xiang1,rong2)
水米无干 (shui3,mi3,wu2,gan4)
水调歌头 (shui3,diao4,ge1,tou2)
水过鸭背 (shui3,guo4,ya1,bei4)
水长船高 (shui3,zhang3,chuan2,gao1)
永无宁日 (yong3,wu2,ning2,ri4)
求降 (qiu2,xiang2)
汉堡包 (han4,pu4,bao1)
汗出洽背 (han4,chu1,qia4,bei4)
汗出浃背 (han4,chu1,jia1,bei4)
汗流夹背 (han4,liu2,jia1,bei4)
汗流洽背 (han4,liu2,qia4,bei4)
汗流浃背 (han4,liu2,jia1,bei4)
汗血盐车 (han4,xue4,yan2,che1)
汗褂儿 (han4,gua4,er5)
汝成人耶 (nu4,cheng4,ren4,ye5)
江都 (jiang1,du1)
汩没 (gu3,mo4)
汹涌淜湃 (xiong1,yong3,peng2,pai4)
沈博绝丽 (chen2,bo2,jue2,li4)
沉吟不决 (chen2,yin1,bu4,jue2)
沉吟章句 (chen2,yin1,zhang1,ju4)
沉没 (chen2,mo4)
沉疴宿疾 (chen2,ke1,su4,ji4)
沉谋重虑 (chen2,mou2,chong2,lv4)
沉降缝 (chen2,jiang4,feng4)
沐猴而冠 (mu4,hou2,er2,guan4)
沐猴衣冠 (mu4,hou2,yi1,guan4)
沐露梳风 (mu4,lu4,shu1,feng1)
沐露沾霜 (mu4,lu4,zhan1,shuang1)
沓子 (ta4,zi3)
沓来踵至 (ta3,lai2,zhong3,zhi4)
沓来麕至 (ta4,lai2,you3,zhi4)
沙参 (sha1,shen1)
沙子 (sha1,zi5)
沙拉 (sha1,la4)
沙鸥翔集 (sha4,ou5,xiang4,ji5)
没世 (mo4,shi4)
没世不忘 (mo4,shi4,bu4,wang4)
没世不渝 (mei2,shi4,bu4,yu2)
没世无称 (mei2,shi4,wu2,cheng1)
没世无闻 (mei2,shi4,wu2,wen2)
没世穷年 (mei2,shi4,qiong2,nian2)
没世难忘 (mo4,shi4,nan2,wang4)
没入 (mo4,ru4)
没头没尾 (mei2,tou2,mo4,wei3)
没头苍蝇 (mei2,tou2,cang1,ying4)
没奈何 (mo4,nai4,he2)
没完没了 (mei2,wan2,mei2,liao3)
没收 (mo4,shou1)
没有空 (mei2,you3,kong4)
没没无闻 (mo4,mo4,wu2,wen2)
没空 (mei2,kong4)
没药 (mo4,yao4)
没落 (mo4,luo4)
没衷一是 (mo4,zhong1,yi1,shi4)
没谱儿 (mei2,pu3,er5)
没过 (mo4,guo4)
没金饮羽 (mo4,jin1,yin3,yu3)
没面子 (mei2,mian4,zi5)
没齿 (mo4,chi3)
没齿不忘 (mo4,chi3,bu4,wang4)
没齿无怨 (mo4,chi3,wu2,yuan4)
没齿难忘 (mo4,chi3,nan2,wang4)
沤沫槿艳 (ou1,mo4,jin3,yan4)
沤浮泡影 (ou1,fu2,pao4,ying3)
沤珠槿艳 (ou1,zhu1,jin3,yan4)
沥血叩心 (li4,xue4,kou4,xin1)
沥血披心 (li4,xue4,pi1,xin1)
沥血披肝 (li4,xue4,pi1,gan1)
沦没 (lun2,mo4)
沮丧 (ju3,sang4)
沮洳 (ju4,ru4)
河伯为患 (he2,bo2,wei2,huan4)
河曲 (he2,qu1)
河涸海干 (he2,he2,hai3,qian2)
沸沸汤汤 (fei4,fei4,shang1,shang1)
油坊 (you2,fang2)
油干灯尽 (you2,gan4,deng1,jin4)
油炸 (you2,zha2)
油炸土豆片 (you2,zha2,tu3,dou4,pian4)
油炸果 (you2,zha2,guo3)
油炸鬼 (you2,zha2,gui3)
油电混合车 (you2,dian4,hun1,he2,che1)
油腔滑调 (you2,qiang1,hua2,diao4)
治丧 (zhi4,sang1)
沽名干誉 (gu1,ming2,gan4,yu4)
沾沾自好 (zhan1,zhan1,zi4,hao4)
沿着 (yan2,zhe5)
泄露天机 (xie4,lou4,tian1,ji1)
泊地 (po1,di4)
泌阳 (bi4,yang2)
法不阿贵 (fa3,bu4,e1,gui4)
法家拂士 (fa3,jia1,bi4,shi4)
法帖 (fa3,tie4)
法轮常转 (fa3,lun2,chang2,zhuan4)
泡子 (pao1,zi3)
泡桐 (pao1,tong2)
泡涨 (pao4,zhang4)
泡货 (pao1,huo4)
波属云委 (bo1,zhu3,yun2,wei3)
波骇云属 (bo1,hai4,yun2,zhu3)
泣下如雨 (qi3,xia4,ru2,yu3)
泣不成声 (qi3,bu4,cheng2,sheng1)
泣数行下 (qi4,shu4,hang2,xia4)
泣血 (qi4,xue4)
泣血捶膺 (qi4,xue4,chui2,ying1)
泣血枕戈 (qi4,xue4,zhen3,ge1)
泣血稽颡 (qi4,xue4,ji1,sang3)
泥古 (ni4,gu3)
泥古不化 (ni4,gu3,bu4,hua4)
泥古拘方 (ni4,gu3,ju1,fang1)
泥古非今 (ni4,gu3,fei1,jin1)
泥名失实 (ni4,ming2,shi1,shi2)
泥娃娃 (ni2,wa2,wa5)
泥子 (ni4,zi3)
泥巴 (ni2,ba5)
泥泞 (ni2,ning3)
泥而不滓 (nie4,er2,bu4,zi3)
泥蟠不滓 (ni2,pan1,bu4,zi3)
泯没 (min3,mo4)
泰山北斗 (tai4,shan1,bei3,dou3)
泰斗 (tai4,dou3)
泰来否往 (tai4,lai2,pi3,wang3)
泰极而否 (tai4,ji2,er2,pi3)
泰然处之 (tai4,ran2,chu3,zhi1)
洁身累行 (jie2,shen1,lei4,xing2)
洁身自好 (jie2,shen1,zi4,hao4)
洋为中用 (yang2,wei2,zhong1,yong4)
洋洋纚纚 (yang2,yang2,sa3,sa3)
洋相 (yang2,xiang4)
洋葱头 (yang2,cong1,tou2)
洋行 (yang2,hang2)
洒心更始 (sa3,xin1,geng4,shi3)
洒扫应对 (sa3,sao4,ying4,dui4)
洗劫ㄧ空 (xi3,jie2,yi4,kong1)
洗发精 (xi3,fa4,jing1)
洗手不干 (xi3,shou3,bu2,gan4)
洗衣服 (xi3,yi1,fu5)
洞见症结 (dong4,jian4,zheng4,jie2)
洞鉴废兴 (dong4,jian4,fei4,xing1)
津关险塞 (jin1,guan1,xian3,sai4)
洪炉燎发 (hong2,lu2,liao2,fa4)
洲际导弹 (zhou1,ji4,dao3,dan4)
洲际弹道导弹 (zhou1,ji4,dan4,dao4,dao3,dan4)
活儿 (huo2,er5)
活剥生吞 (huo2,bao1,sheng1,tun1)
活动分子 (huo2,dong4,fen4,zi3)
活塞 (huo2,sai1)
活着 (huo2,zhe5)
活血 (huo2,xue4)
活靶子 (huo2,ba3,zi5)
派不是 (pai4,bu2,shi4)
流弹 (liu2,dan4)
流氓 (liu2,mang2)
流汗浃背 (liu2,han4,jia1,bei4)
流离颠疐 (liu2,li2,dian1,shu3)
流血 (liu2,xue4)
流露 (liu2,lu4)
浃背汗流 (jia1,bei4,han4,liu2)
浅浅 (jian1,jian1)
浅薄 (qian3,bo2)
浅露 (qian3,lu4)
浆糊 (jiang1,hu2)
浇头 (jiao1,tou5)
浇薄 (jiao1,bo2)
浇风薄俗 (jiao1,feng1,bo2,su2)
测度 (ce4,duo2)
测量 (ce4,liang2)
济南 (ji3,nan2)
济宁 (ji3,ning2)
济济 (ji3,ji3)
济济一堂 (ji3,ji3,yi1,tang2)
浑抡吞枣 (hun2,lun2,tun1,zao3)
浑朴 (hun2,piao2)
浑水摸鱼 (hun2,shui3,mo2,yu2)
浑然一体 (hun2,ran2,yi4,ti3)
浑球儿 (hun2,qiu2,er5)
浑身冒汗 (hun1,shen1,mao4,han4)
浑身解数 (hun2,shen1,xie4,shu4)
浒墅关 (xu3,shu4,guan1)
浓抹淡妆 (nong2,mo4,dan4,zhuang1)
浓装艳抹 (nong2,zhuang1,yan4,mo4)
浩浩汤汤 (hao4,hao4,shang1,shang1)
浪头 (lang4,tou5)
浮名薄利 (fu2,ming2,bo2,li4)
浮声切响 (fu2,sheng1,qie4,xiang3)
浮收勒折 (fu2,shou1,le4,she2)
浮生切响 (fu2,sheng1,qie4,xiang3)
浮白载笔 (fu2,bai2,zai3,bi3)
浴血 (yu4,xue4)
浴血奋战 (yu4,xue4,fen4,zhan4)
海参 (hai3,shen1)
海参崴 (hai3,shen1,wei1)
海德堡大学 (hai3,de2,pu4,da4,xue2)
海水不可斗量 (hai3,shui3,bu4,ke3,dou3,liang2)
海水难量 (hai3,shui3,nan2,liang2)
海禁 (hai3,jin4)
海难 (hai3,nan4)
浸没 (jin4,mo4)
消长 (xiao1,zhang3)
涎着脸 (xian2,zhe5,lian3)
涓滴不剩 (juan1,di1,bu2,sheng4)
涡河 (guo1,he2)
涤纶 (di1,lun2)
涨红 (zhang4,hong2)
涨红了脸 (zhang4,hong2,le5,lian3)
液体炸弹 (ye4,ti3,zha4,dan4)
涸思干虑 (he2,si1,qian2,lv4)
淋病 (lin4,bing4)
淡妆轻抹 (dan4,zhuang1,qing1,mo4)
淡汝浓抹 (dan4,zhuang1,nong2,mo3)
淡泊 (dan4,bo2)
淡然处之 (dan4,ran2,chu3,zhi1)
淡薄 (dan4,bo2)
淤塞 (yu1,se4)
淤血 (yu1,xue4)
淫言媟语 (yin2,yan2,liang3,yu3)
淮橘为枳 (huai2,ju2,wei2,zhi3)
深仇宿怨 (shen1,chou2,xiu3,yuan4)
深切 (shen1,qie4)
深切着明 (shen1,qie1,zhe5,ming2)
深切着白 (shen1,qie1,zhe5,bai2)
深切著明 (shen1,qie4,zhu4,ming2)
深切著白 (shen1,qie4,zhu4,bai2)
深厉浅揭 (shen1,li4,qian3,qi4)
深恶痛嫉 (shen1,wu4,tong4,ji2)
深恶痛疾 (shen1,wu4,tong4,ji2)
深恶痛绝 (shen1,wu4,tong4,jue2)
深扃固钥 (shen1,jiong1,gu4,yao4)
深文周内 (shen1,wen2,zhou1,na4)
深文曲折 (shen1,wen2,qu3,she2)
深更半夜 (shen1,geng1,ban4,ye4)
深水炸弹 (shen1,shui3,zha4,dan4)
深省 (shen1,xing3)
深谷为陵 (shen1,gu3,wei2,ling2)
混为一体 (hun4,wei2,yi4,ti3)
混为一谈 (hun4,wei2,yi4,tan2)
混凝纸浆 (hun4,ning2,zhi3,jiang4)
混子 (hun4,zi5)
混战一场 (hun4,zhan4,yi4,chang3)
混日子 (hun4,ri4,zi5)
混活 (hun2,huo2)
混浊 (hun2,zhuo2)
混混噩噩 (hun2,hun2,e4,e4)
混然一体 (hun2,ran2,yi1,ti3)
混球儿 (hun4,qiu2,er5)
混血 (hun4,xue4)
混血儿 (hun4,xue4,er2)
淹没 (yan1,mo4)
添盐着醋 (tian1,yan2,zhe5,cu4)
添砖加瓦 (tian1,zhuan1,jie1,wa3)
清净无为 (qing1,jing4,wu2,wei2)
清官能断家务事 (qing1,guan1,nan2,duan4,jia1,wu4,shi4)
清寒 (xiao1,han2)
清都绛阙 (qing1,dou1,jiang4,que4)
清静无为 (qing1,jing4,wu2,wei2)
清风劲节 (qing1,feng1,jing4,jie2)
渊涓蠖濩 (yuan1,juan1,huo4,hu4)
渊清玉絜 (yuan1,qing1,yu4,jie2)
渐不可长 (jian4,bu4,ke3,zhang3)
渑池 (mian3,chi2)
渔阳鞞鼓 (yu3,yang2,pi2,gu3)
温凊定省 (wen1,qing3,ding4,sheng3)
温差 (wen1,cha1)
温席扇枕 (wen1,xi2,shan1,zhen3)
温枕扇席 (wen1,zhen3,shan1,xi2)
温衾扇枕 (wen1,qin1,shan1,zhen3)
游兴 (you2,xing4)
游必有方 (you1,bi4,you3,fang1)
游手好闲 (you2,shou3,hao4,xian2)
游泳裤衩 (you2,yong3,ku4,cha3)
游说 (you2,shui4)
湖泊 (hu2,po1)
湛恩汪濊 (zhan4,en1,wang1,hun2)
湫隘 (jiao3,ai4)
湮没 (yan1,mo4)
溃烂 (kui4,lan4)
溃脓 (hui4,nong2)
溜子 (liu1,zi5)
溜旱冰 (liu1,han2,bing1)
溜溜转 (liu1,liu1,zhuan4)
溜达 (liu1,da5)
溢美溢恶 (yi4,mei3,yi4,le4)
溶血 (rong2,xue4)
滂沱大雨 (pang2,tuo2,da4,yu3)
滋长 (zi1,zhang3)
满不在乎 (man3,bu4,zai4,hu1)
满处 (man3,chu3)
满天星斗 (man3,tian1,xing1,dou3)
满载 (man3,zai4)
滥竽充数 (lan4,yu2,chong1,shu4)
滥调 (lan4,diao4)
滴水不漏 (di1,shui3,bu2,lou4)
滴溜儿 (di1,liu4,er2)
滴滴答答 (di1,di1,da1,da1)
滴露研朱 (di1,lu4,yan2,zhu1)
滴露研珠 (di1,lu4,yan2,zhu1)
漂亮 (piao4,liang4)
漂亮话 (piao4,liang4,hua4)
漂染 (piao3,ran3)
漂泊 (piao1,bo2)
漂洗 (piao3,xi3)
漂白 (piao3,bai2)
漏尽更阑 (lou4,jin4,geng1,lan2)
漏斗 (lou4,dou3)
漫卷 (man4,juan4)
漫天遍地 (man4,shan1,bian4,di4)
漯河 (ta4,he2)
潜血 (qian2,xue4)
潢池盗弄 (huang2,shi5,dao4,nong4)
潦倒 (liao2,dao3)
潦草 (liao2,cao3)
潮差 (chao2,cha1)
澄汰 (deng4,tai4)
澄沙 (deng4,sha1)
澄沙汰砾 (deng4,sha1,tai4,li4)
澄清 (cheng2,qing1)
澄结 (deng4,jie2)
澹台 (tan2,tai2)
激切 (ji1,qie4)
激将 (ji1,jiang4)
激将法 (ji1,jiang4,fa3)
激薄停浇 (ji1,bo2,ting2,jiao1)
激进分子 (ji1,jin4,fen4,zi3)
火急火燎 (huo3,ji2,huo3,liao3)
火烧火燎 (huo3,shao1,huo3,liao3)
火耕水种 (huo3,geng1,shui3,zhong4)
灭景追风 (mie4,ying3,zhui1,feng1)
灭此朝食 (mie4,ci3,zhao1,shi2)
灯尽油干 (deng1,jin4,you2,gan4)
灯晕 (deng1,yun4)
灯蛾扑火 (de2,e2,pu1,huo3)
灰蒙蒙 (hui1,meng2,meng2)
灵长目 (ling2,zhang3,mu4)
灶头 (zao4,tou5)
灸艾分痛 (jiu4,ai4,fen1,tong4)
灾难 (zai1,nan4)
灾难深重 (zai1,nan2,shen1,zhong4)
炫昼缟夜 (xuan4,zhou1,gao3,ye4)
炫玉贾石 (xuan4,yu4,gu3,shi2)
炫石为玉 (xuan4,shi2,wei2,yu4)
炮凤烹龙 (pao2,feng4,peng1,long2)
炮制 (pao2,zhi4)
炮子儿 (pao4,zi3,er5)
炮弹 (pao4,dan4)
炮烙 (pao2,luo4)
炰鳖脍鲤 (feng4,bie1,kuai4,li3)
炸丸子 (zha2,wan2,zi3)
炸元宵 (zha2,yuan2,xiao1)
炸土豆条 (zha2,tu3,dou4,tiao2)
炸弹 (zha4,dan4)
炸弹坑 (zha4,dan4,keng1)
炸油条 (zha2,you2,tiao2)
炸油饼 (zha2,you2,bing3)
炸烹大虾 (zha2,peng1,da4,xia1)
炸糕 (zha2,gao1)
炸肉丸子 (zha2,rou4,wan2,zi5)
炸虾 (zha2,xia1)
炸酱 (zha2,jiang4)
炸鱼 (zha2,yu2)
